Svinestierne,Susanna Alakoski
Kun tæt på,Sara Barnard
Et lille liv,Hanya Yanagihara
Min kæreste elskling,Gabriel Tallent
Fordi ilden er vores,Daniel Boysen 
Ondskaben,Jan Guillou
Yahya hassan,Yahya Hassan
Folkets skønhed,Merete Pryds Helle
Pigen,Angelika Klüssendorf
Det gør kun ondt én gang,Peter Krogholm og Diana Hansen
Skyggefald,Lasse Løager
Sort land,Ahmad Mahmoud 
Sommerbarn,Kirsten Myers
Lille idiot,Anette Broman Mølbæk
Planen,Morten Pape
Sirenesang,Odile Poulsen
Girafhuset,Gorm Henrik Rasmussen
Forbandede yngel,Anne-Cathrine Riebnitzsky
Do danska,Jonas Suchanek
Drengen fra godhavn,Ole Tornbjerg  
Mandfolk,Finn Wilkens 
Syg i hodet,Finn Wilkens
Hvem slog bambi ihjel?,Monika Fagerholm
Samtykket,Vanessa Springora
Min mørke Vanessa,Kate Elizabeth Russell
Rosenreglen,Liv Nimand Duvå
Overgrebet,Inès Bayard
Et lille liv,Hanya Yanagihara
Peach,Emma Glass
Voldens historie,Édouard Louis
Jeg ved hvorfor fuglen synger i sit bur,Maya Angelou
Arv og miljø,Vigdis Hjorth
Det bliver sagt,Kristian Ditlev
The recruit,Robert Muchamore		
The dealer,Robert Muchamore		
Maximum security,Robert Muchamore	
The killing,Robert Muchamore		
Divine madness,Robert Muchamore	
Man vs. beast,Robert Muchamore	
The fall,Robert Muchamore		
Mad dogs,Robert Muchamore		
The sleepwalker,Robert Muchamore	
The general,Robert Muchamore	
Dark sun,Robert Muchamore		
Brigands M.C.,Robert muchamore	
Shadow wave,Robert Muchamore
Peoples republic,Robert Muchamore	
Guardian angel,Robert Muchamore		
Black friday,Robert Muchamore		
Lone wolf,Robert Muchamore			
New guard,Robert Muchamore		
Harry potter and the sorcerer’s stone,J.K. Rowling		
Harry potter and the chamber of secrets,J.K. Rowling 	
Harry potter and the prisoner of azkaban,J.K. Rowling
Harry potter and the goblet of fire,J.K. Rowling	
Harry potter and the order of the phoenix,J.K. Rowling 	
Harry potter and the half-blood prince,J.K. Rowling		
Harry potter and the deathly hallows,J.K. Rowling 		
Harry potter and the cursed child,J.K. Rowling 
Kidnappet,Jørn Jensen 
Fanget i fryserummet,Jørn Jensen 
De skjulte våben,Jørn Jensen 
De forsvundne børn,Jørn Jensen 
Den gale baron,Jørn Jensen 
Koldt blod 3: den store zombie,Jørn Jensen 
Koldt blod 2: den gale professor,Jørn Jensen 
Koldt blod: de forsvundne børn,Jørn Jensen
The hunger games,Suzanne Collins				
Catching fire,Suzanne Collins					
Mockingjay,Suzanne Collins						
The ballad of songbirds and snakes,Suzanne Collins
The maze runner,James Dashner
The scorch trials,James Dashner
The death cure,James Dashner
The kill order,James Dashner
The fever code,James Dashner
The last wish,Andrzej Sapkowski
Sword of destiny,Andrzej Sapkowski
Season of storms,Andrzej Sapkowski
Blood of elves,Andrzej Sapkowski
Time of contempt,Andrzej Sapkowski
Baptism of fire,Andrzej Sapkowski
The tower of the swallow,Andrzej Sapkowski
The lady of the lake,Andrzej Sapkowski
A game of thrones,George R.R. Martin
A clash of kings,George R.R. Martin 	
A storm of swords,George R.R. Martin 	
A feast for crows,George R.R. Martin
A dance with dragons,George R.R. Martin 			
